conversation_id,turns,domain,era,teams_or_players,user_initial_question,expected_answer_mode_turn1,acceptable_modes_turn1,expected_tables,gold_sql,gold_key_values,notes_for_grader,assistant_reply_1,user_followup_1,assistant_reply_2,user_followup_2,assistant_final_action_or_answer
conv_021,multi,Efficiency,Modern,"Kevin Durant, Stephen Curry","Who is more efficient, Durant or Curry?",execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts clarify: model clarifies on ambiguous questions,"Efficiency can mean field-goal percentage, true shooting, effective field-goal percentage, turnover efficiency, or scoring efficiency at volume. Which metric should I use?",True shooting and scoring volume.,Should I compare full careers or their prime seasons only?,Full careers.,"I will compare Durant and Curry using career true shooting percentage, scoring volume, field-goal/three-point/free-throw splits, and minutes or games to show efficiency at scale."
conv_022,multi,Rebounding,1960s-1970s,"Bill Russell, Wilt Chamberlain, Dennis Rodman",Was Rodman a better rebounder than Wilt and Russell?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts not_answerable: complex analytical SQL,"That is a cross-era rebounding question. Raw rebounds per game favor older eras because pace and minutes were different. Should I compare raw rebounds, rebound percentage if available, or era-relative rankings?",Use rebound percentage if available.,Should I compare full careers or peak rebounding seasons?,Peak seasons.,"I will compare Rodman, Wilt, and Russell by peak rebounding using rebound percentage where available, and I will add raw rebounds only as supporting context."
conv_023,multi,Assist leaders,All eras,"John Stockton, Chris Paul, Steve Nash, Magic Johnson",Who is the best passer statistically?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts not_answerable: complex analytical SQL,"Passing can be measured by assists per game, total assists, assist percentage, turnovers, or team offense context. Which should matter most?",Assist percentage and turnovers.,"Should I limit this to point guards, or include all players?",Point guards only.,"I will compare major point guards using assist percentage, assists, turnovers, assist-to-turnover indicators if available, and longevity."
conv_024,multi,Defensive awards,1990s-2000s,"Hakeem Olajuwon, Tim Duncan, Ben Wallace, Dikembe Mutombo",Who was the best defensive big statistically?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts not_answerable: complex analytical SQL,"Defense is difficult to capture with one number. Should I compare blocks, steals, defensive rebounds, defensive win shares, awards, or team defensive results?",Use everything available.,Should I compare their full careers or their best defensive peaks?,Best defensive peaks.,"I will compare peak defensive seasons for Hakeem, Duncan, Wallace, and Mutombo using box-score defense, defensive rebounding, available advanced defensive metrics, awards, and team defensive context."
conv_025,multi,Playoff series analysis,2016,"2016 NBA Finals, Cavaliers, Warriors",How did the Cavs come back from 3-1 statistically?,pending,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts clarify: model clarifies + pending catalog gap,"I can compare the first four games to the last three games. Should I focus on team stats, LeBron and Kyrie's production, Warriors shooting, or all of those?",All of those.,"Should I use game-by-game box scores only, or include play-by-play trends if available?",Use box scores first.,"I will compare Games 1-4 against Games 5-7 using team scoring, shooting, turnovers, rebounds, and key player production to identify what changed statistically."
conv_026,multi,Head-to-head,2000s,"Kobe Bryant, Tim Duncan",What was Kobe's record against Tim Duncan?,pending,execute_sql|clarify|not_answerable,TODO_VERIFY,,,pending: requires_phase=4 (player_vs_player),"I can look for head-to-head games if the schedule and game logs support it. Do you want regular season only, playoffs only, or both?",Both.,"Should I count team wins only, or also compare their individual stats in those games?",Both team record and individual stats.,"I will identify Lakers-Spurs games where Kobe and Duncan both appeared, split regular season and playoffs, and summarize team record plus each player's averages."
conv_027,multi,Teammate overlap,2000s-2010s,"LeBron James, Dwyane Wade",How many seasons did LeBron and Wade play together?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts not_answerable: complex analytical SQL,"I can answer that from rosters or season-team records. Do you want only Miami seasons, or include their brief Cleveland reunion too?",Include Cleveland.,"Should I return just the season count, or include each season and team?",Include each season and team.,"I will list every season where LeBron and Wade were teammates, including Miami and Cleveland, and provide the total count."
conv_028,multi,Team records,All eras,Boston Celtics,What are the Celtics' best seasons by win percentage?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts clarify: model clarifies on comparison questions,"I can rank Celtics seasons by win percentage. Should I include only regular seasons, or combine regular season and playoffs?",Regular season only.,"Should I use Boston Celtics only, or include earlier franchise naming if the data has any historical variations?",Boston Celtics only.,"I will rank Boston Celtics regular seasons by win percentage and include wins, losses, season, and playoff result if available as context."
conv_029,multi,Underrated players,1990s,Reggie Miller,Was Reggie Miller underrated statistically?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts not_answerable: complex analytical SQL,That depends on which stats you value. Reggie may look different in traditional per-game stats versus efficiency and playoff scoring. Which angle should I use?,Efficiency and playoff scoring.,"Should I compare him to other shooting guards from his era, or to all-time wings?",Other shooting guards from his era.,"I will compare Reggie Miller to 1990s shooting guards using scoring, true shooting or shooting splits, three-point volume if available, playoff production, and longevity."
conv_030,multi,One-team careers,All eras,"Dirk Nowitzki, Dallas Mavericks",Where does Dirk rank among one-team players?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts clarify: model clarifies,"I can rank one-team players by career totals, advanced metrics, awards, or franchise impact. Which should matter most?",Career totals and advanced metrics.,"Should I include players who technically played for only one franchise but across relocated city names, or strict team name only?",One franchise is fine.,"I will identify players who spent their NBA careers with one franchise and rank them by career totals plus available advanced metrics, with Dirk included for comparison."
conv_031,multi,Advanced metric leaderboards,All eras,"Michael Jordan, LeBron James, Nikola Jokic",Who has the highest career PER?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,COVERAGE-DEPENDENT: requires PER or an equivalent advanced metric.,"I can rank career PER, but should I apply a minimum minutes or games threshold to avoid tiny-sample leaders?","Minimum 10,000 minutes.",Should I include active players and players from all eras where PER is available?,Yes.,"I will rank players by career PER with at least 10,000 minutes, including active players and all eras where the metric is available."
conv_032,multi,Shooting volume,Modern,"Stephen Curry, Klay Thompson, Ray Allen",Who are the best high-volume three-point shooters?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts not_answerable: complex analytical SQL,"I can define high-volume by career threes made, attempts per game, three-point percentage, or a minimum attempts threshold. Which should I use?",Use percentage with a minimum attempts threshold.,"What minimum should I use: 1,000, 2,000, or 5,000 career attempts?","2,000 attempts.","I will rank players by career three-point percentage among players with at least 2,000 three-point attempts and include makes, attempts, and attempts per game."
conv_033,multi,Play style evolution,1980s-present,NBA league averages,When did the NBA become a three-point league?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts not_answerable: complex analytical SQL,"I can answer that using league-wide season trends. Should I use three-point attempts per game, three-point rate, makes per game, or percentage of total shots?",Three-point attempt rate.,"Should I identify the single biggest jump season, or describe the trend by decade?",Trend by decade.,"I will group league seasons by decade and show how three-point attempt rate changed over time, highlighting the biggest acceleration periods."
conv_034,multi,Pace and scoring environment,1960s-present,NBA league averages,Which era had the most inflated scoring stats?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts not_answerable: complex analytical SQL,"Inflated can mean high pace, high minutes for stars, high league offensive rating, or high scoring averages. Which factor should I use?",Pace and minutes.,"Should I compare league averages by decade, or player leaderboards adjusted by era?",League averages by decade.,"I will compare decades by league pace indicators and player minutes context where available, then identify eras where raw scoring totals were most boosted by environment."
conv_035,multi,Small market teams,2000s-present,"San Antonio Spurs, Oklahoma City Thunder, Milwaukee Bucks",Which small-market team has been most successful statistically?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts not_answerable: complex analytical SQL,"I can compare small-market success, but we need to define the team set. Should I use your examples only, or include all small-market teams?","Use Spurs, Thunder, and Bucks.","Should I compare since 2000, since the Thunder relocation, or all available history?",Since 2000.,"I will compare the Spurs, Thunder, and Bucks since 2000 using wins, playoff appearances, playoff series wins if available, championships, and point differential."
conv_036,multi,Expansion teams,1988-present,"Miami Heat, Orlando Magic, Charlotte Hornets, Minnesota Timberwolves, Toronto Raptors, Memphis Grizzlies",Which expansion franchise became good the fastest?,pending,execute_sql|clarify|not_answerable,TODO_VERIFY,,,pending: requires_phase=4 (franchise dimension),"I can measure that from each franchise's first season. Should I define good as first winning season, first playoff appearance, first 50-win season, or first Finals appearance?",First 50-win season.,"Should I include relocated expansion teams under their franchise lineage, or only their original city?",Use franchise lineage.,"I will calculate how many seasons each expansion franchise took to reach its first 50-win season, using continuous franchise lineage where applicable."
conv_037,multi,International players,All eras,"Dirk Nowitzki, Nikola Jokic, Giannis Antetokounmpo, Luka Doncic",Who is the best international player ever statistically?,pending,execute_sql|clarify|not_answerable,TODO_VERIFY,,,pending: requires_phase=4 (player dimension),"I can compare international players statistically if nationality or birthplace data is available. Should I rank by career value, peak value, MVP-level seasons, or playoff success?",Career and peak.,"Should I include only players born outside the United States, or also U.S.-born players who represented other national teams?",Born outside the United States.,"I will rank non-U.S.-born players using both career value and peak value, and I will separate the two rankings if they point to different players."
conv_038,multi,College/draft pipeline,All eras,"Duke, Kentucky, North Carolina, UCLA",Which college produced the best NBA players?,pending,execute_sql|clarify|not_answerable,TODO_VERIFY,,,pending: requires_phase=4 (player dimension),"I can compare colleges if college fields are available. Should I rank by number of NBA players, total career value, All-Stars, or top-end superstars?",Total career value.,"Should I count every player equally by career stats, or only players above a minutes/games threshold?",Use a games threshold.,"I will group players by college, require a minimum NBA games threshold for inclusion, and rank schools by combined career production and available advanced metrics."
conv_039,multi,Age curves,All eras,NBA players by age,At what age do NBA players usually peak?,pending,execute_sql|clarify|not_answerable,TODO_VERIFY,,,pending: requires_phase=4 (player dimension),"I can estimate that using age-season data if available. Should peak mean scoring, overall box-score production, minutes, or advanced metrics?",Advanced metrics.,"Should I include all players, or only players with long enough careers to avoid noisy results?",Only meaningful careers.,I will analyze players with meaningful career length and compare advanced metrics by age season to estimate the typical statistical peak age.
conv_040,multi,Injury/availability,2010s-present,Kawhi Leonard,How much has availability affected Kawhi's career stats?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts clarify: model clarifies,"I can evaluate availability through games played, minutes, and missed seasons, but I may not have injury details directly. Should I compare per-game impact versus total career value?","Yes, per-game versus total value.","Should I compare Kawhi to similar elite wings with better availability, like LeBron, Durant, or Paul George?",Compare to Durant and Paul George.,"I will compare Kawhi, Durant, and Paul George using per-game production, games, minutes, career totals, and available advanced metrics to show how availability changes the career-value picture."
conv_041,multi,Clutch/play-by-play,Modern,Damian Lillard,Who is the most clutch player in the database?,not_answerable,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts clarify: rubric expects clarification,"Clutch requires a definition. Should I use close games, fourth quarters, last five minutes within five points, playoff game-winners, or another definition?",Last five minutes within five points.,"That may require play-by-play data. Should I include only seasons where play-by-play is available, and rank by scoring efficiency plus volume?",Yes.,"I will use play-by-play data where available to identify last-five-minutes-within-five situations, then rank players by clutch scoring volume and efficiency with a minimum attempts threshold."
conv_042,multi,Lineups/on-off,Modern,"Denver Nuggets, Nikola Jokic",How bad are the Nuggets when Jokic sits?,not_answerable,execute_sql|not_answerable|clarify,TODO_VERIFY,,,COVERAGE-DEPENDENT: on-off requires lineup data; a transparent proxy from game logs is acceptable.,"That sounds like an on-off or lineup question. Does the database include lineup/on-off data, or should I approximate it with team performance in games or minutes without Jokic?",Approximate it if needed.,"Should I focus on the current season, a specific season, or Jokic's full prime?",Jokic's full prime.,"I will first check whether true on-off or lineup data exists. If not, I will approximate the question using Nuggets performance with Jokic active versus unavailable and explain the limitation clearly."
conv_043,multi,Coaching/team history,1990s-present,"Phil Jackson, Gregg Popovich, Pat Riley",Who is the best coach statistically?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts clarify: rubric expects clarification,"Coach comparisons depend on whether coaching data is available. If it is, should I rank by regular-season wins, playoff wins, championships, win percentage, or team overperformance?",Playoff wins and championships.,"Should I include only head-coaching seasons, or any role listed in the database?",Head coaches only.,"I will check for coach/team season data and rank head coaches by playoff wins and championships if available. If coaching tables are not available, I will explain that limitation and suggest a team-season proxy."
conv_044,multi,Awards vs stats,All eras,All-NBA selections,Who has the best stats but never made All-NBA?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts clarify: model chose clarify,"I can look for strong statistical players without All-NBA selections if awards data exists. Should I rank by career totals, peak seasons, advanced metrics, or scoring?",Peak seasons.,Should I require a minimum number of games in the peak season so partial seasons do not dominate?,"Yes, minimum 60 games.","I will find players with no All-NBA selections and rank their best qualifying seasons by advanced metrics and box-score production, requiring at least 60 games."
conv_045,multi,Most improved,All eras,Player season jumps,Who had the biggest single-season improvement?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts not_answerable: complex analytical SQL,"Improvement can mean points per game, efficiency, minutes, advanced metrics, or role expansion. Which version should I calculate?",Advanced metrics and scoring.,"Should I compare consecutive seasons only, and require the player to appear in both seasons?",Yes.,"I will compare consecutive seasons for the same player, require meaningful games or minutes in both seasons, and rank the biggest jumps in scoring plus available advanced metrics."
conv_046,multi,Trade impact,Modern,"James Harden, Houston Rockets, Brooklyn Nets, Philadelphia 76ers",Which team got the best version of James Harden?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts clarify: model clarifies,"I can compare Harden by team stint. Should I use regular-season stats only, playoffs only, or both?",Both.,"Should I compare per-game production, efficiency, advanced metrics, team success, or all of those?",All of those.,"I will split Harden's career by team and compare regular-season and playoff production, efficiency, available advanced metrics, and team success for each stint."
conv_047,multi,Championship supporting cast,2010s,2011 Dallas Mavericks,Was Dirk's 2011 supporting cast weak statistically?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts not_answerable: complex analytical SQL,I can compare the 2011 Mavericks supporting cast to other championship teams. Should I exclude Dirk and measure the rest of the roster?,"Yes, exclude Dirk.","Should I compare by regular-season production, playoff production, or both?",Playoff production.,"I will compare non-Dirk Mavericks playoff production against supporting casts from other champions using scoring, efficiency, minutes, and available advanced metrics."
conv_048,multi,Stat milestones,All eras,Triple-doubles,Who has the most triple-doubles in the data?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts not_answerable: complex analytical SQL,"I can calculate triple-doubles from game logs if rebounds, assists, and other box-score stats are available by game. Do you want regular season, playoffs, or both?",Regular season.,"Should I count only points-rebounds-assists triple-doubles, or any combination of five box-score categories?",Any combination.,"I will scan regular-season player game logs and count games where a player reached double digits in at least three of points, rebounds, assists, steals, and blocks."
conv_049,multi,Historical standings,All eras,Worst teams in NBA history,What are the worst teams ever by record?,execute_sql,execute_sql|clarify|not_answerable,TODO_VERIFY,,,accepts clarify: model clarifies,I can rank worst teams by win percentage. Should I include shortened seasons and lockout seasons?,"Include them, but mark them.","Should I use all NBA history, or include BAA/ABA seasons if the database has them?",NBA only.,"I will rank NBA teams by worst regular-season win percentage, include wins and losses, and flag shortened seasons so the context is clear."
conv_050,multi,Database capability boundary,All eras,General NBA database chatbot,Who had the best handles in NBA history?,not_answerable,execute_sql|clarify|not_answerable,TODO_VERIFY,,,Capability boundary: 'handles' is not measured. Offering a proxy via clarify is fine; silently executing one is not.,"That is partly subjective and may not be directly stored in the database. I can still help by using statistical proxies. Do you want proxies like assists, turnovers, usage, isolation scoring if available, or guard creator profiles?",Use guard creator profiles.,Should I make a data-driven shortlist and clearly label it as a proxy rather than a definitive handles ranking?,Yes.,"I will build a proxy shortlist of high-usage guard creators using assists, turnover indicators, scoring volume, efficiency, and available play-type or shot-creation stats if present, while clearly explaining that handles are not directly measured."
conv_051,single,Career totals,All eras,Kareem Abdul-Jabbar,How many career points did Kareem Abdul-Jabbar score?,execute_sql,execute_sql|clarify|not_answerable,mart_player_career,"SELECT dp.full_name, pc.career_pts FROM mart_player_career pc JOIN dim_player dp USING (player_id) WHERE lower(dp.full_name) = 'kareem abdul-jabbar'",Kareem Abdul-Jabbar|38387,accepts clarify: model clarifies,,,,,
conv_052,single,Team season record,2015-16,Golden State Warriors,What was the Golden State Warriors' record in the 2015-16 regular season?,execute_sql,execute_sql|clarify|not_answerable,src_fact_bref_team_season_summary,"SELECT team, season, w, l FROM src_fact_bref_team_season_summary WHERE team = 'Golden State Warriors' AND season = 2016",Golden State Warriors|2016|73|9,accepts not_answerable: team_season query,,,,,
